acclamation	acclimation
acclimation	acclamation
ad	add
add	ad
adds	adze
adze	adds
ade	aid
ade	aide
aid	ade
aid	aide
aide	ade
aide	aid
adieu	ado
ado	adieu
aery	airy
airy	aery
affect	effect
effect	affect
ail	ale
ale	ail
air	ere
air	err
air	heir
ere	air
ere	err
ere	heir
err	air
err	ere
err	heir
heir	air
heir	ere
heir	err
airs	errs
airs	heirs
errs	airs
errs	heirs
heirs	airs
heirs	errs
aisle	I'll
aisle	isle
I'll	aisle
I'll	isle
isle	aisle
isle	I'll
all	awl
awl	all
allied	elide
elide	allied
allowed	aloud
aloud	allowed
allude	elude
elude	allude
allusion	illusion
illusion	allusion
altar	alter
alter	altar
ant	aunt
aunt	ant
arc	ark
ark	arc
are	r
r	are
ascent	assent
assent	ascent
ate	eight
eight	ate
auger	augur
augur	auger
aught	ought
ought	aught
aural	oral
oral	aural
away	aweigh
aweigh	away
awed	odd
odd	awed
awful	offal
offal	awful
awn	on
on	awn
ax	axe
ax	acts
axe	ax
axe	acts
acts	ax
acts	axe
ay	aye
ay	eye
ay	I
ay	i
aye	ay
aye	eye
aye	I
aye	i
eye	ay
eye	aye
eye	I
eye	i
I	ay
I	aye
I	eye
I	i
i	ay
i	aye
i	eye
i	I
ayes	eyes
eyes	ayes
b's	bees
bees	b's
b	be
b	bee
be	b
be	bee
bee	b
bee	be
bach	batch
batch	bach
bad	bade
bade	bad
bail	bale
bale	bail
bait	bate
bate	bait
bald	bawled
bawled	bald
balks	box
box	balks
ball	bawl
bawl	ball
balm	bomb
bomb	balm
band	banned
banned	band
banns	bans
bans	banns
bard	barred
barred	bard
bare	bear
bear	bare
baron	barren
barren	baron
base	bass
bass	base
based	baste
baste	based
bask	Basque
Basque	bask
bay	bey
bey	bay
bazaar	bizarre
bizarre	bazaar
beach	beech
beech	beach
beat	beet
beet	beat
beau	bow
bow	beau
been	bin
bin	been
beer	bier
bier	beer
beetle	betel
betel	beetle
bell	belle
belle	bell
benzene	benzine
benzine	benzene
berry	bury
bury	berry
berth	birth
birth	berth
better	bettor
bettor	better
bight	bite
bight	byte
bite	bight
bite	byte
byte	bight
byte	bite
billed	build
build	billed
bird	burred
burred	bird
blew	blue
blue	blew
bloc	block
block	bloc
boar	Boer
boar	bore
Boer	boar
Boer	bore
bore	boar
bore	Boer
board	bored
bored	board
boatswain	bosun
bosun	boatswain
bogey	bogie
bogey	bogy
bogie	bogey
bogie	bogy
bogy	bogey
bogy	bogie
bold	bowled
bowled	bold
bolder	boulder
boulder	bolder
bole	boll
bole	bowl
boll	bole
boll	bowl
bowl	bole
bowl	boll
boos	booze
booze	boos
born	borne
born	bourn
born	bourne
borne	born
borne	bourn
borne	bourne
bourn	born
bourn	borne
bourn	bourne
bourne	born
bourne	borne
bourne	bourn
borough	burgh
borough	burro
borough	burrow
burgh	borough
burgh	burro
burgh	burrow
burro	borough
burro	burgh
burro	burrow
burrow	borough
burrow	burgh
burrow	burro
bough	bow
bow	bough
boy	buoy
buoy	boy
brae	bray
bray	brae
braid	brayed
brayed	braid
braise	brays
braise	braze
brays	braise
brays	braze
braze	braise
braze	brays
brake	break
break	brake
breach	breech
breech	breach
bread	bred
bred	bread
bream	brim
brim	bream
brewed	brood
brood	brewed
brews	bruise
bruise	brews
bridal	bridle
bridle	bridal
broach	brooch
brooch	broach
brows	browse
browse	brows
bruit	brute
brute	bruit
buccal	buckle
buckle	buccal
bur	burr
burr	bur
burley	burly
burly	burley
bus	buss
buss	bus
bussed	bust
